sample,condition,path
inplanta-3KO-020,3KO,03_kallisto/kallisto_quant/inplanta-3KO-020
inplanta-3KO-021,3KO,03_kallisto/kallisto_quant/inplanta-3KO-021
inplanta-3KO-023,3KO,03_kallisto/kallisto_quant/inplanta-3KO-023
inplanta-SN15-016,SN15,03_kallisto/kallisto_quant/inplanta-SN15-016
inplanta-SN15-017,SN15,03_kallisto/kallisto_quant/inplanta-SN15-017
inplanta-SN15-018,SN15,03_kallisto/kallisto_quant/inplanta-SN15-018
inplanta-SN15-019,SN15,03_kallisto/kallisto_quant/inplanta-SN15-019
inplanta-Tween-012,Tween,03_kallisto/kallisto_quant/inplanta-Tween-012
inplanta-Tween-013,Tween,03_kallisto/kallisto_quant/inplanta-Tween-013
inplanta-Tween-015,Tween,03_kallisto/kallisto_quant/inplanta-Tween-015
